review,sentiment
saw film kid years ago havent forgotten day couldnt say whether good picture days instantly fell love jean simmons memories concentrate erotic feel movie still remember plot simmons young another film gave feeling david leans great expectations young jean simmons pity blue lagoon available video id like correct memories,positive
movie working toward two goals make political point tell scary adventure story often difficult make political point still tell good story consider highly political rarelyentertaining final season ellen beyond rangoon finds good balance politics storytellingi already knew aung san suu kyi nobel peace prize knew something oppressive political situation burma political message movie mostly dramatization already knew thought movie good job telling aung san suu kyi mostlyfaceless dictators years tried silence device presenting unfamiliar setting eyes character viewers identify fairly common quite well done movieof course real measure movie entertainment value arquette excellent young woman whose sister took distant unfamiliar place shake depression violent deaths husband son convincingly detached depressed grieving condition gives clear reason distracted wanderings thick dangerous situation understand something shed otherwise much intelligent stumble intoonce dangers become obvious see even cloud grief shes trapped easy escape sets path adventure needs intelligence survive writers deserve much credit making intelligent resourceful enough deal numerous dangerous situations still finding plausible reason foolish enough get trouble first place directing strong also keeping tension throughout race escape forces dictatorshipthis movie additional impact wife events time period preparing trip india heard news reports western tourists taken hostage terrorist group india avoiding isolated terrorists peaceful democratic country quite different matter escaping oppressive dictatorship movie news shared element avoiding danger unfamiliar country common characteristic gave movie meaning beyond strength skillful storytelling movie illustrates international tourists worst nightmare,positive
unlike movie closest thing compare woody allen film woody allen constantly fathoming human foibles bret carr appears trying figure way get grips one crippling insecurity tends define us better worse case lou root cause stuttering traced back singular child hood trauma revealed flash backsthere many strangely neurotic people world believe deserve chance redemption although diversity human character makes world intriguing place maybe shouldnt fix neurosis anymore fix noses breaststhis indie film shot long shoestring production values tremendous scope film feel like quirky gem selfhelp market really look forward seeing filmmaker next could imagine career along lines woody allen albert brooks although usually guy like breaks goes makes x men humble quirky origins soon forgotten x men aout bunch freaks remember correctly,positive
williams family live ranch located middle remote desert find considerable peril place suddenly thrust time vortex past present future collide wildly chaotic unpredictable manner director john bud cardos begins film compellingly mysterious note gradually allows things get stranger crazier exciting loopy story unfolds moreover cardos fills screen plenty dazzling visuals nice job creating genuine sense awe wonder admirably sincere acting game cast qualifies another major plus jim davis hearty patriarch grant williams dorothy malone cheery wife ana christopher mitchum concerned richard marcy lafferty lovely wife beth natasha ryan sweet little girl jenny scott c kolden gutsy steve funky special effects offer inspired combo gnarly miniatures neat stopmotion animation monsters said creatures include tiny spindly hairless guy big lumpy fanged beast scrawny lizard dude nifty matte paintings richard bands rousing fullbore orchestral score really hits stirring spot john arthur morrills crisp sunny cinematography likewise trick fun flick,positive
movie makes canadians brits asinine moronic idiots men get stoneddrunk yellbeat almost every scene women superfluous story  understand  spend every scene causing ruckus worse milling around like mesmerized cattle apparently canadian women either quarrelsome vulgar tramps hulking hippie chicks standard knockedup girlfriend loser boyfriend wicked mother ludicrousness seen countless movies beforeevery character carping infantile stereotype mention looked like need shower idea kind scene implying sex george wendt  shudder  enough make anyone gag watched movie samuel west  cannot understand would accepted role like maybe needed money ian tracey superb actor one vague redeeming moment talent wasted hereas rest plot  three imbeciles trying get dope back  yawn karl  dead actually character much alive minds left behind almost like rebecca alfred hitchcocks masterpiece  although ashamed even thought compare two films even bother karl galling find circumstances death gratifyingby end wretched movie thought would better going boat,negative
everyone involved project ashamed result efforts oh laughed coupe times laughed couple times schindlers list also really screwed good premise,negative
ive seen biblebased trash one tops make matters worse lasts three hours horrible waste time unless want match kids biblical knowledge innumerable aberrations favor take walk sahara instead since required give ten line statement watch movie let say absolutely redeemable quality gods conversations noah ridiculous whole thing stench lets make biblical account look retarded basic logic goes spent money biblical film make worthwhile since basic logic met something amiss movie starts disclaimer poetic licenses takenthat understatement century poetic rape poetic would unmerited favor,negative
film one played well back probably wouldnt work well today style bit old fashioned contrived however sort person like adores older hollywood films cut film bit slack enjoy isan interesting soapthe film set ward problem pregnancies large room half dozen beds women waiting give birthbut doctors concerned possible complications yikessuch room would really traumatize mothers like episode love boat fantasy island mother special story many rather extreme crazy stories suspend disbelief could enjoyed film quite bithere stories one involves father dont see mom nervous father included comic relief however wonderful herevery touchingloretta young eric linden sad case loretta sent hospital prisonshe apparently killed horrible guy dont know exactly occurred assume trying force yet given year sentenceand husband devoted side much canglenda farrell awful person maternal instincts hamstera really really bad alcoholic hamster pretty funny worth seeing film loved drinking hot water bottle filled gin well becoming upset learns cant make money selling twins late film typical hollywoodstyle change heart supposed touchingi found contrivedthere woman given birth stillborn baby amazingly afterwords put lady back ward women waiting give birth crazy woman assumed lost baby time agowanders psychiatric unit insists shes baby later escapes actually takes one kidsthere stories ones mentioned main ones said soap opera sorts highly entertainingand quite sad case several stories ending particular heartbreaking exceptionally well done particularly good performancesespecially farrell aline macmahon head nurse good filmand idea felt remake film years later typical warner brothers,positive
im disney fan happen orlando friends wedding traveling partner went disney days havent seen good effect wellever usually try stay away presentations effect good im grown man even wanted try reach touch good word advice end look back theater wall put like thisthe first time saw effect wasnt working told friendit would nice friend said thats exactly happens working reason awesome show disappointed,positive
never large cast ugly people gathered together make equally ugly filmsomething huge horrifying loose waters florida coast something leaves half chewed bodies behind wake unshaven beer dependent bob thinks caught things evil voice tape bobs assistant amazingly unattractive painfully skinny stella decides enlist help slimy ladies man peter electrician whose equipment may able help locate mysterious creature anyone sticks nose far mystery winds dead killed baboon faced hitman bad perm terrible secret behind sea killer ugly scientists torrid affairs inept cops doctors puzzle increasing numbers corpses stella peter make beach characters dont care killed munched sea killer weird combination octopus shark pair large dentures never really seems threatening conspiracy behind monsters creation makes sense whatsoever none characters particularly likable ones might killed immediately poorly shot badly dubbed plot less mess whole thing scuzzy smelly made long hot bath ive sushi plates scarier film avoid unless mstk version,negative
paris avalon computer generated system controls city young woman kidnapped detective karas craig must go avalon find herrenaissance splendid blend film making mixed conceptual futuristic narrative lights screen shocking manor noir themed ideology conceptual montages delight manypixar animation masters numerous oscar winning films endless charming toy story mystifying walle company director real challenge knock perch renaissance isnt film aimed young audience though like persepolis brings strong mature approach genre animation make older challenging film targeted older generationin robert rodriguez released shockingly brilliant noir sin city shook whole usage green screen splendid balance filming black white odd spurts colour year later christian volckman took similar approach equally visually masterful stroke film makingvolckmans picture however full animation doesnt half look realistic majority strong hour minutes running time faces characters well portrayed particular film got finest ever usage shadow fact never know night day irrelevant simply gazing stony faces shadows blend across expressions almost clever use pathetic fallacy finely directed alsofor anyone seen persepolis come conclusion one finest directed animations ever screened simple highly conceptual artistic style marjane satrapirenaissance equally terms picture many instances rivals stronger graphics darker tone reflect mood one scene particular karas appears darkness beautifully shotthe narrative revolves around stubborn nosey political government keeps tabs every citizen running paris mysterious avalon dont see nearly enough get essence true dominance renaissance controlling narrative around tired cops attempts rescue mysterious woman see craigs tired boring cop attempt rescue whilst battling elements many things wrong scripting mention tired exasperated cop routine old plenty dashing adrenaline springy banter characters keep alive right till wonderfully shot shocking last couple stages,positive
films young republic number buccaneer stands finely crafted film charleton heston excels portrayal old hickorys defence new orleans thrown together force militia regulars pirates promised reprieveafter christmas peninsula veterans led sir edward packenham duke wellingtons brother law bore city new orleans andy jackson day draw together scratch force defend city behind bales haycharlton heston projects jacksons terrifying presence awe inspiring power command yet colorful comic relief might english lioness pounce young blond haired voluteer new orleans asks guess ruckus startthe battle rage long true form british marched straight withering american fire less minutes attempt reconquer lost north american territories foiledthe battle scene movies lasts slightly longer actual battle itselfthere colorful side stories film young volunteer first dance celebrate victory,positive
high hopes film saw listing decided watch tv uninterrupted commercial breaks ive liked lee van cleef many movies im afraid characters call chris repeatedly doesnt turn even reasonable facsimile yul brenners chrisi found movie complete disappointment music sound track tried impart magnificence portrayed original failed bring film standard original rich textures characters original mostly missing film guess havent seen original would okay many clichés little depth characters missed humanity compassion three dimensional characters original,negative
movie undoubtably go well horror mental little something almost everyone including couple really cool abduction scenes aliens film makes extensive use alien abduction mythology also showing bit intelligence facets abduction myths would expect movie jillian mcwhirter excellent grueling performance,positive
one best charlie chaplins lengthier short films places little fellow trenches wwi brings intolerable politeness endless patience drudgery trench life troops lived months time finally going top overtake enemy usually deaths takes someone chaplins skill comedian make something dreary trench warfare brilliant comedy irony uses film makes even uncomfortable conditions highly amusinglike best chaplins films short films otherwise one packed brilliant memorable scenes scene marks kills piece chalk board trench erasing one gets helmet shot scene fellow soldiers sleeping underwater opening beer bottle lighting cigarette course overtaking enemy scenes showstoppers reminiscent wonderful chaplin scenes one missed,positive
vampire bat set small german village klineschloss gustave schoen lionel belmore burgermeister holding meeting inspector karl brettschneider melvyn douglas local constabulary recent murders six victims discovered many weeks drained blood bearing two puncture wounds necks brettschneider doesnt single clue superstitious elders village believe deaths work vampire brettschneider isnt convinced scared villagers keep telling tales seeing large bat meanwhile latest victim martha mueller rita carlyle found brettschneider comes increasing pressure solve murders really believe giant vampire bat responsible hows going stop itdirected frank r strayer vampire bat cheapie majestic pictures cash success two stars atwill wray success previous years doctor x murder mystery rather horror exploitative enticing title may lead believe quite frankly rather dull script edward lowe jr takes rather seriously sets basic story something killing local villagers something could possibly vampire duration film focuses brettschneider incompetent investigations put fine point boring vampire bat also bit identity crisis doesnt quite know wants title would suggest horror film majority could easily described thriller final minutes descending silly scifi vampire bat attempts fool pathetic characters broad stereotypes tell villain piece straight away whole nothing particularly exciting entertaining vampire bat know old thats excuse cinema moved lot since bland flat dull boring misleading film vampire bat doesnt cut days look original king kong released year brilliantly still holds today didnt like doubt many modern filmgoers would either simple straight forward thatdirector strayer doesnt anything special case point cut film slack age whole pretty much point shoot hope best stuff isnt much way atmosphere scares although sets already existing ones taken old dark house universals european set backlot nice add certain ambiance thingstechnically vampire bat cant compare anything even remotely modern age alright suppose draw attention back original king kong speaking king kong star fay wray role horror icon lionel atwill ill kind say acting okthe vampire bat imagine fool lot people thinking horror film vampire bats fact isnt personally thought whole thing bit bore short tells story reasonably enough must admit im fan,negative
lucky enough see years tribeca film festival stunned well made entertaining wonderful little film director griffin dunne done great job assembling film several characters several story lines blend smoothly seamlessly main story involves family thoughtprovoking entertaining story involved viewer every scene film whole credibility integrity yet still commercial edge indie movie masses like performances cast excellent diane lane shines brightest diane lane simply sensational wonderful film oscar nominated early days know lane acts socks,positive
claudine movie representation american system worst welfare system initially set stepping stone families needed extra hand get back feetthe movie showed accurate portrayal welfare system breaks family unit words father male figure lives women children financial support system would jeopardized terminated struggles poor seen throughout world would like see reproduction movie back stores rent buy library collection,positive
isnt working surprised see many people consider good grounds loose hints whole material selfindulgent unconvincing lynchs movies generally intriguing generate sense confusion yet playful visual sense subplots characters ideas etc dull yes pointless whatever explore either small either farfetched simply told superior manner lynch exploring dv nothing treated like,negative
absolutely adore book written robin klein excited heard movie based book makingbut severely disappointed movie see didnt capture loved book absolutely ridiculously funny erica interesting way views worldfrom start movie realised things werent imagined book went along ride wasnt bad guess miss belmont totally different imagined didnt think would one smoke drink jean kittson plays hilariouson thought movie actorsactresses good job alas im fan book one time favourite books couldnt help feel disappointed p,negative
clean family oriented movie laughed criedi loved worried wouldnt able see steve carrell anything goofy michael office boy wrong win oscar performance definitely buy dvd comes husband enjoyed isnt movies type saw couples year old range agreed best movie seen long time certainly cleanest cuss word even sure pg would highly recommend movie anyone likes comedy drama romance,positive
saw film first time bbc july good interpretation person conan doyleand truly wonder sherlock fans think also think movie fans whether agree mentionedyou may ask ac doyle strong person put question however creator famous holmesbut much sort semibiography less strongly put adaption forward movie see even arent interested sherlock holmes movies books look enjoy opinion,positive
recently rented film dvd thought would interesting choice seeing north england bradford also interested filmmaking however soon became apparent film seemed lack decent level development scriptwise characters weak often stereotyped story lacked substance subject matter could interesting basis film however delivery appeared naive unfocused ending felt though casting judgement characters punishing rewarding filmmakers felt necessary felt little awkward silly seemed odds realism used style shooting film dealt characters subject matter rather heavy handed clumsy manner felt though writer already decided wanted end story set crowbarring everything else fit itanother point feel strongly watereddown ken loach feel film get quite upset uk film financiers cant see british films gritty realism become almost safe option film infinitely wonderful playground imaginative ideas exploited uk feature film producers lot talent uk unfortunate individuals end either making music videos commercials time go america love hate would worked better cut minutes appeared oneoff tv drama,negative
long time seemed like good canadian actors headed south border guessed second rank ones filled top slots left dregs sex comediesthis film real surprise despite outlandish plots typical farces actors seemed trying put something characters viewer got back almost true suspension belief extras music video attacked evicting police almost believed possibleif fan better sex farces canadian definitely seek one big surprise sex farce also loaded good nudity,positive
im guessing matter fans cars luv sound dodge challenger growls along road noise chevy make screams ecstasy tears round corner blast sound classic vehicle bursts flames explodes im biggest car enthusiast stretch imagination really rev engine theres denying importance transport cinema even said invention train one biggest influences early cinema looking window almost like moving picture idea transported different timespace car remains popular luved even got genre carsploitation genre genre focuses purely beauty cars effect porn car porn im talking rather nasty documentary channel men actually sexual intercourse cars whatever floats yourcar guess moving whilst running empty isnt quite pornographic vanishing point richard c sarafian instance close ups car motion bumps curves doesnt mean car isnt main focus film fact cars become characters later theyre objectified fetishised much women fact maybe even holy holy cars something every car film besides ones background simply beautiful  works art theres question itas saying incredible cars way given characters actually start sympathising car spoiler  notably scene car wrecked burnt spoiler become almost convention carsploitation genre evil plymouth fury christine john carpenter satans custom lincoln mark iii car elliot silverstein nifty little mini coopers italian job peter collinson friendly volkswagen beetle love bug robert stevenson course car death race paul bartel even wacky races character ironically however emphasis car often takes human characters certainly case running empty one human character blind character drives car hearing rather sight sort dimension rest much stock characters stereotypical australian teenagers big hair annoying accents none would look place neighbours especially kylie minouge lookalike gives damn cars racing crashing thats dont like really watching wrong genrethe car scenes certainly selling point film best thing got going fast fast talking rather annoying technique films seem use record car speeding around mph speed oooh film dont cars zooming along top speeds real time  fancy editing tricks weve got speed check crashes check check check whilst isnt cars crashing everywhere la incredibly blues brothers john landis cars crash film certainly crash would seem use gunpowder something similar build cars one little hit kaboom theyre flames kind reminded thriller cruel picture bo arne vibenius sensebetween simply awesome scenes especially start end quite scenes slow everything done opinion fail add much film note exploding cars needed however couple exceptions great scenes  spoiler especially attempted rape sceneso mans film boys film full cars vroom vroom vrooming around outback couple tits thrown good measure id recommend little film anyone even keen cyclists  great film switch brain sit back leather chair put full volume ill give luvs luvs  bruuuuum ps  amazon selling £  real bargain although dvd lacks special features whatsoever,positive
film gets bad start incredibly corny monologue followed immediately brilliantlydone truly amazing spaceship crash things go downhill realize survivors bad actors apart docking pilot psychopath b almost fit nicely role monsterfodder hell half dont even speak english preventing audience getting know characters feel watching deep blue sea meets silence lambs minus good bits unfortunately entire thing tries hard crashed desert planet hannibal lecter daylight scenes vin diesel great actor anthony hopkins frankly annoys smart hypercool psycho least one good scene involving unexpected survivor apart could well cut first thirty minutes sobut things take turn cant exactly pinpoint moment soon movie gets lot better also feels less chopped scenes actually begin follow consistent narrative vin diesel becomes much less annoying soon showstealer time first monsters appear film actually quite enjoyable time night falls great thrilling horrifying exciting even character development main characters welldone sit poor bits start youre great entertainment besides visuals eyecandy honestly admit love colour tone movie could,positive
first transformation scene music ive heard greeks dont get freeks right really liked sound also liked hydes got nothing hide final scenes truly doper movie many laughs puns sight gags slapstick madam woowoos place reminiscent places visited ivy venus appeared stuff truly amazing looks much different movie talking maturity didnt hurt bit mark blankfield reminds one gene wilder ways bess armstrong beautiful maintained beauty long time,positive
veber renown outstanding directorial skills fact nobody cares long got laughs quite honest scattered whole process thanks depardieus halfwit characterization dialogue veber puts mouthbut enough make great comedy since theres movie outside usual veber premise tough guy doomed team naive character lemmerdeur la chèvre les compères real story going fire vs water proceedings le diner de cons although play managed create real suspense next catastrophe pinon would cause taistoi backstory vengeance redundant weak arouse interest plus heavies lame screen scriptnow whats wrong veber wraps creating action rhythm instead uses systematically overuses ellipses maybe met william goldman hollywood music really stresses lack nerve backbone storyso youll content depardieus performance,negative
helped produce many excellent hollywood films well whatever magic may also found columbia picture long forgotten screwball comedy turner classic movies begun show maltins movie book contain nearly every department amazing mr williams jewelits story firstrate police detective never find time marry intended wedding bells ring gets called scene murder lady question learn hard way enjoy pursuit criminals belong police force lot laughs processmelvyn douglas proved peers light comedy joan blondell peak career delight edward brophy donald mcbride hilariousthe film goes bit long cares screwball comedies always able entertain film belongs right best,positive
film lauded point ridiculous american movie boring documentary boring person ordinary youll find equivalents every corner america takes long hard look guy whos failed everything interest making independent movieor two failures selfish pursuits name real art movie might chance america abundance better stories told one flushed many critics good reason ashamed two thumbs indeed,negative
saw film opening weekend australia anticipating excellent cast ledger edgerton bloom watts rush definitive story ned kelly would unfold unfortunately despite outstanding performance heath ledger lead role plot paper thinwhich doesnt inspire read sunshine plus points support acting edgerton particular assured direction jordan confirming talent show buffalo soldiers well production design gave real feel harshness australian bush much irish immigrants early th century must seen cant help feeling another opportunity missed tell real story australian folk hero hein suspect concession hollywood selling picture us oh well least jordan producers didnt agree lose beards please universalguess content peter careys excellent secret history kelly gang,negative
saw movie recently friend brought nyc minutes said youve got kidding sort joke thought good told thought probably one silliest movies ever made supposed asked propaganda movie made children plot stupid acting worst ever principals frankly people look sort tripe think anything life love even afterlife offers incredibly idiotic viewneed psychiatric help please someone tries get stick dvd video player consider like would virus introduced computerit wont destroy player destroy evening made razzies would every category ps also goes dubious sobriquet stairway heaven,negative
really dont care one likes movie thats review lou diamond phillips great comedic role line train b c instant classic cg great yeah train looks little fake aliens wow ever rock todd bridges wheres arnold mr drummond wow hes loop guess thats jail bullet train way las vegas senator deliver big speech meteor hit sudden got aliens running loose aboard train hero cop save day make matters worse exwife board arguing thought movie wonderful must see like action,positive
agree previous comment disappointment rented thinking going good movie since mira olivier surprised performance expected since theyre good actorsthought slow beginning got worse even laughed bad stunts supposed mystery movie even guess killer beforehand real happened sorry say dont even bother youll waste time moneyboring,negative
although copies movie hard find find get believe aside navy abbott costellos musical although twisted plot around little ive never heard version butcher goes still enjoy antics slightly idiotic lovable jack greedy butcher mr dinklepuss slightly reminiscent dubarry lady uproarious film rolling floor get dance lou costello sings dont know didnt films,positive
movie classic part country filmed small town many friends guards dixon correctional worked yrs superamerica store next krogers store old lady however still dumbest movie ever made destined introduced gilbert godfreid rhonda shearer hasnt already bit trivia illinois doesnt even parole hearings dixon prison medium security facility housing burglars vending machine vandals classic cluckingseduction scene perhaps amusing piece writing ive ever seen especially suspenseful buildup,negative
even though slightly older recommended age group really enjoyed movie little break reality must every little girls dream become friends pop star know mine sure first minutes really cheesy mean girls said things also slightly cheesy get really start enjoy loved relationship jd jane really sweet could see much began like soundtrack perfect fits film really well also liked family set jane sisters seemed lovely well made film,positive
theres old security guard guy dies theres kevin worlds biggest wuss kevin wants impress incredibly insensitive bratty virginal girlfriend amy returns work random house finds friends sexually confusing redshorted kyle truly revolting sluttish daphne soon joined daphnes boyfriend triggerhappy sexcrazed macho lunkhead nick theres title creatures horrid little dogeared puppets kill people giving hearts desire kyles hearts desire mate creepy yucky woman spandex nicks hearts desire throw grenades grade school cafeteria mean nightclub kevins hearts desire beat skinny thug nunchucks amys hearts desire disgusting slut daphnes already disgusting slut doesnt hearts desire along way truly hideous band sings truly odd song hobgoblins randomly go back came blow citizen kane cannot hold candle true masterpiece american cinema,negative
film one spend short entertainment could made nobody country anything identifies colombian looks topics supposed colombian socially politically correct cinema denominated jeopardizeit better going see film drug traffic fight reference either farmer worker wing guerrilla kidnapping political corrupt police personage could mexican russian italian chinese also personage protagonist argentine photographer could venezuelan peruvian philippine frequent boludo parliaments could replaced another word slang country without personage history changes important thing decently counted history images right performances quality almost tv movie good ones one film like deserves deserve support publics bottoms little classic discussion mamerta,positive
loved flick came still still quote classic lines like say said youd rip balls sir ron leibman hot funny although underrated disowned mad say little gem always treasure mine movie would take sent deserted island wish someone would release dvd vhs tape worn like cheesed comedy definitely considered cult classic military humor best worse rent cant,positive
purchased viewed dvd film dvd transfer last year film really great little film overlooked people saw theater loved ever since love opening shot pittsburgh baltimore another user commented makes pittsburgh look like one beautiful cities world must say tour pitts garbage truck nicky scenic interesting one tom hulce everyone else said gives remarkable wonderful performance dvd good transfer extras widescreen format recommend love movie,positive
bollywood fans pretty much hold amitabh bachans mard high regard think overrated manmohan desai collaborated movies like suhaagparvarishamar akbar anthonynaseebdesh premee coolie seen liked high expectations watched mard bitterly disappointed main gripe mard feels like amar akbar anthony part maybe mr desai ran ideas using formula years years first members cast repeated aaa instance police inspector brings amar muslim brings akbar nirupa roy aaa nirupa roy loses eyesight mard loses voice aaa famous song shirdi wale sai babawell mard amitabh singing maa sherawali seen aaa times noticed straight awaymy gripes situations seem ridiculous true manmohan desai made leave brain door kind movies mard thought went far last gripe compared songs previous manmohan desai movies found songs rather disappointing know many fans swear didnt like one bit actually pains write review huge fan loved movies since child,negative
dont remember film getting cinema release saw came onto cable film deals dehumanisation children killing machines specifically one person way gets replaced dumped literally offworld community finds unable cope coming terms really feelsseems lot people expected rambo space would happy wasim certainly happy wasnt kurt fine job portraying emotional cripple scene hes sitting outside compound shows albeit decision two slowmo replays detracts momentthis classic sf movie way bladerunner alien silent running logans run thx however unfortunately nearest ive seen long timehe changes movie believable degree doesnt crack arnie one liners doesnt become snake plissken definative happy endingthats film didnt well didnt follow formula among year old target american audience thats unforgivable wasnt expected seefear disciplinealways,positive
obtained little piece scuzz videoasia tales voodoo dvd label quite voodoo supposed fit idea indeed would usually connect voodoo indonesia anyway let alone wipsi know love wip movies seen could therefore resist little known gem description given coverit appalling cannot wip movie women keep clothes even shower although gives nod exploitation genre wip without nudity like big mac without beefas gym teacher used say whole id rather disco,negative
unmarried woman named stella bette midler gets pregnant wealthy man stephen collins offers marry sense obligation turns flat decides raise kid things go ok child named jenny trini alvarado becomes teenager things gradually predictably become worseive seen silent version sound version stella dallas neither one affected much cry easily wellmade dated trying remake stupid idea guess midler enough power incomprehensible success beaches get made predictably bombed story laughable dated todays standards even though midler alvarado give good performances film really drags bored silly end stephen collins marsha mason good actors dont help supporting roles flimsy dull reallywho thought would work see stanwyck version instead give,negative
watched description cover art yet deceivedi getting sick new stupid straight dvd horror moviesonce blue moon ok started confusing scene jumped years showed couple one night thunderstorm ok like storms set nice moodthen turned cool road trip ended diner encountering bizarre peoplethe rest got weird got confusingi watch til end even confused ended badlyi higher hopes movie like science fiction horror something made tv,negative
said would film greater turks fruit darethey even classic bad acting character felt sympathy oneplayed angela schijf acting best whole film story couldve interesting wasnt scenes beautiful filmed lights camera theopening scene example bad acting made magicdisappeari really dont understand many people voted film sogood,negative
thing remember film used air local ktla tv ch every christmas season mid late mainly due fact true story took place near christmas eve always bit disturbing see hell girl goes lone survivor plane crash peruvian jungle graphic scene young girl pulling leeches infected leg made quite impression young viewer quite kind christmas cheer used seeing time definitely rankinbass production,positive
many many years gaijin visited japan learning martial arts instead acquiring knowledge gainjin told nihonjin could achieve excelent performance required show techniques public performance moviethis one special movie made sho kosugi shows techniques skills also teaches many many lessons achieve one verify seeing lucinda dickey performing fantastic unforgettable acting skills ninjutsui strongly recommend watching movie thrice three times enough seek hints tips given easily sho kosugi really seek knowledge gnosis,positive
